Yıl,Ay,Gün,Bayram_Flag
2021,1,1,Yılbaşı
2021,4,23,Ulusal Egemenlik ve Çocuk Bayramı
2021,5,1,Emek ve Dayanışma Günü
2021,5,19,"Atatürk'ü Anma, Gençlik ve Spor Bayramı"
2021,7,15,Demokrasi ve Millî Birlik Günü
2021,8,30,Zafer Bayramı
2021,10,29,Cumhuriyet Bayramı
2021,5,13,Ramazan Bayramı
2021,5,14,Ramazan Bayramı
2021,5,15,Ramazan Bayramı
2021,7,20,Kurban Bayramı
2021,7,21,Kurban Bayramı
2021,7,22,Kurban Bayramı
2021,7,23,Kurban Bayramı
2022,1,1,Yılbaşı
2022,4,23,Ulusal Egemenlik ve Çocuk Bayramı
2022,5,1,Emek ve Dayanışma Günü
2022,5,19,"Atatürk'ü Anma, Gençlik ve Spor Bayramı"
2022,7,15,Demokrasi ve Millî Birlik Günü
2022,8,30,Zafer Bayramı
2022,10,29,Cumhuriyet Bayramı
2022,5,2,Ramazan Bayramı
2022,5,3,Ramazan Bayramı
2022,5,4,Ramazan Bayramı
2022,7,9,Kurban Bayramı
2022,7,10,Kurban Bayramı
2022,7,11,Kurban Bayramı
2022,7,12,Kurban Bayramı
2023,1,1,Yılbaşı
2023,4,23,Ramazan Bayramı; Ulusal Egemenlik ve Çocuk Bayramı
2023,5,1,Emek ve Dayanışma Günü
2023,5,19,"Atatürk'ü Anma, Gençlik ve Spor Bayramı"
2023,7,15,Demokrasi ve Millî Birlik Günü
2023,8,30,Zafer Bayramı
2023,10,29,Cumhuriyet Bayramı
2023,4,21,Ramazan Bayramı
2023,4,22,Ramazan Bayramı
2023,6,28,Kurban Bayramı
2023,6,29,Kurban Bayramı
2023,6,30,Kurban Bayramı
2023,7,1,Kurban Bayramı
2024,1,1,Yılbaşı
2024,4,23,Ulusal Egemenlik ve Çocuk Bayramı
2024,5,1,Emek ve Dayanışma Günü
2024,5,19,"Atatürk'ü Anma, Gençlik ve Spor Bayramı"
2024,7,15,Demokrasi ve Millî Birlik Günü
2024,8,30,Zafer Bayramı
2024,10,29,Cumhuriyet Bayramı
2024,4,10,Ramazan Bayramı
2024,4,11,Ramazan Bayramı
2024,4,12,Ramazan Bayramı
2024,6,16,Kurban Bayramı
2024,6,17,Kurban Bayramı
2024,6,18,Kurban Bayramı
2024,6,19,Kurban Bayramı
