tarih,ilce,bildirimsiz_sum,bildirimli_sum
2021-01-01,manisa-akhisar,9,0
2021-01-02,manisa-akhisar,10,0
2021-01-03,manisa-akhisar,5,2
2021-01-04,manisa-akhisar,6,0
2021-01-05,manisa-akhisar,15,4
2021-01-06,manisa-akhisar,10,0
2021-01-07,manisa-akhisar,15,3
2021-01-08,manisa-akhisar,8,5
2021-01-09,manisa-akhisar,4,0
2021-01-10,manisa-akhisar,3,0
2021-01-11,manisa-akhisar,3,3
2021-01-12,manisa-akhisar,13,1
2021-01-13,manisa-akhisar,18,1
2021-01-14,manisa-akhisar,7,1
2021-01-15,manisa-akhisar,25,0
2021-01-16,manisa-akhisar,10,2
2021-01-17,manisa-akhisar,5,1
2021-01-18,manisa-akhisar,9,1
2021-01-19,manisa-akhisar,5,2
2021-01-20,manisa-akhisar,9,0
2021-01-21,manisa-akhisar,11,3
2021-01-22,manisa-akhisar,5,1
2021-01-23,manisa-akhisar,6,1
2021-01-24,manisa-akhisar,6,0
2021-01-25,manisa-akhisar,15,2
2021-01-26,manisa-akhisar,13,4
2021-01-27,manisa-akhisar,19,0
2021-01-28,manisa-akhisar,4,4
2021-01-29,manisa-akhisar,6,2
2021-01-30,manisa-akhisar,23,1
2021-01-31,manisa-akhisar,15,0
2021-02-01,manisa-akhisar,16,7
2021-02-02,manisa-akhisar,32,0
2021-02-03,manisa-akhisar,8,0
2021-02-04,manisa-akhisar,18,2
2021-02-05,manisa-akhisar,11,5
2021-02-06,manisa-akhisar,8,0
2021-02-07,manisa-akhisar,6,2
2021-02-08,manisa-akhisar,24,0
2021-02-09,manisa-akhisar,16,0
2021-02-10,manisa-akhisar,5,0
2021-02-11,manisa-akhisar,13,3
2021-02-12,manisa-akhisar,10,0
2021-02-13,manisa-akhisar,10,2
2021-02-14,manisa-akhisar,12,0
2021-02-15,manisa-akhisar,8,1
2021-02-16,manisa-akhisar,40,2
2021-02-17,manisa-akhisar,40,0
2021-02-18,manisa-akhisar,12,1
2021-02-19,manisa-akhisar,10,1
2021-02-20,manisa-akhisar,7,4
2021-02-21,manisa-akhisar,9,1
2021-02-22,manisa-akhisar,7,6
2021-02-23,manisa-akhisar,6,0
2021-02-24,manisa-akhisar,12,0
2021-02-25,manisa-akhisar,8,1
2021-02-26,manisa-akhisar,9,1
2021-02-27,manisa-akhisar,1,0
2021-02-28,manisa-akhisar,8,0
2021-03-01,manisa-akhisar,8,5
2021-03-02,manisa-akhisar,4,1
2021-03-03,manisa-akhisar,5,1
2021-03-04,manisa-akhisar,4,2
2021-03-05,manisa-akhisar,10,1
2021-03-06,manisa-akhisar,6,0
2021-03-07,manisa-akhisar,12,0
2021-03-08,manisa-akhisar,4,0
2021-03-09,manisa-akhisar,6,1
2021-03-10,manisa-akhisar,2,0
2021-03-11,manisa-akhisar,11,0
2021-03-12,manisa-akhisar,6,0
2021-03-13,manisa-akhisar,4,0
2021-03-14,manisa-akhisar,4,0
2021-03-15,manisa-akhisar,6,2
2021-03-16,manisa-akhisar,6,5
2021-03-17,manisa-akhisar,6,0
2021-03-18,manisa-akhisar,7,1
2021-03-19,manisa-akhisar,4,0
2021-03-20,manisa-akhisar,7,0
2021-03-21,manisa-akhisar,4,0
2021-03-22,manisa-akhisar,15,0
2021-03-23,manisa-akhisar,14,0
2021-03-24,manisa-akhisar,6,1
2021-03-25,manisa-akhisar,9,0
2021-03-26,manisa-akhisar,3,1
2021-03-27,manisa-akhisar,9,2
2021-03-28,manisa-akhisar,5,1
2021-03-29,manisa-akhisar,4,0
2021-03-30,manisa-akhisar,6,0
2021-03-31,manisa-akhisar,20,3
2021-04-01,manisa-akhisar,5,3
2021-04-02,manisa-akhisar,7,1
2021-04-03,manisa-akhisar,9,0
2021-04-04,manisa-akhisar,9,1
2021-04-05,manisa-akhisar,6,0
2021-04-06,manisa-akhisar,8,0
2021-04-07,manisa-akhisar,6,3
2021-04-08,manisa-akhisar,8,1
2021-04-09,manisa-akhisar,21,2
2021-04-10,manisa-akhisar,2,0
2021-04-11,manisa-akhisar,1,0
2021-04-12,manisa-akhisar,8,1
2021-04-13,manisa-akhisar,6,0
2021-04-14,manisa-akhisar,6,0
2021-04-15,manisa-akhisar,6,0
2021-04-16,manisa-akhisar,4,0
2021-04-17,manisa-akhisar,9,0
2021-04-18,manisa-akhisar,6,1
2021-04-19,manisa-akhisar,7,0
2021-04-20,manisa-akhisar,8,0
2021-04-21,manisa-akhisar,10,0
2021-04-22,manisa-akhisar,8,1
2021-04-23,manisa-akhisar,9,0
2021-04-24,manisa-akhisar,10,1
2021-04-25,manisa-akhisar,14,0
2021-04-26,manisa-akhisar,9,0
2021-04-27,manisa-akhisar,9,0
2021-04-28,manisa-akhisar,8,0
2021-04-29,manisa-akhisar,5,1
2021-04-30,manisa-akhisar,6,1
2021-05-01,manisa-akhisar,11,0
2021-05-02,manisa-akhisar,6,2
2021-05-03,manisa-akhisar,9,3
2021-05-04,manisa-akhisar,5,0
2021-05-05,manisa-akhisar,6,0
2021-05-06,manisa-akhisar,8,1
2021-05-07,manisa-akhisar,9,0
2021-05-08,manisa-akhisar,11,0
2021-05-09,manisa-akhisar,12,0
2021-05-10,manisa-akhisar,7,1
2021-05-11,manisa-akhisar,6,0
2021-05-12,manisa-akhisar,6,0
2021-05-13,manisa-akhisar,4,0
2021-05-14,manisa-akhisar,6,0
2021-05-15,manisa-akhisar,3,0
2021-05-16,manisa-akhisar,3,0
2021-05-17,manisa-akhisar,11,0
2021-05-18,manisa-akhisar,7,0
2021-05-19,manisa-akhisar,3,0
2021-05-20,manisa-akhisar,5,0
2021-05-21,manisa-akhisar,18,0
2021-05-22,manisa-akhisar,5,0
2021-05-23,manisa-akhisar,7,2
2021-05-24,manisa-akhisar,9,5
2021-05-25,manisa-akhisar,9,0
2021-05-26,manisa-akhisar,7,0
2021-05-27,manisa-akhisar,10,0
2021-05-28,manisa-akhisar,2,0
2021-05-29,manisa-akhisar,5,0
2021-05-30,manisa-akhisar,3,0
2021-05-31,manisa-akhisar,13,2
2021-06-01,manisa-akhisar,15,1
2021-06-02,manisa-akhisar,11,0
2021-06-03,manisa-akhisar,6,2
2021-06-04,manisa-akhisar,16,1
2021-06-05,manisa-akhisar,5,1
2021-06-06,manisa-akhisar,6,1
2021-06-07,manisa-akhisar,3,2
2021-06-08,manisa-akhisar,13,4
2021-06-09,manisa-akhisar,10,4
2021-06-10,manisa-akhisar,13,3
2021-06-11,manisa-akhisar,40,2
2021-06-12,manisa-akhisar,30,2
2021-06-13,manisa-akhisar,16,1
2021-06-14,manisa-akhisar,7,0
2021-06-15,manisa-akhisar,14,1
2021-06-16,manisa-akhisar,12,1
2021-06-17,manisa-akhisar,11,2
2021-06-18,manisa-akhisar,12,1
2021-06-19,manisa-akhisar,14,0
2021-06-20,manisa-akhisar,10,1
2021-06-21,manisa-akhisar,8,1
2021-06-22,manisa-akhisar,11,0
2021-06-23,manisa-akhisar,45,1
2021-06-24,manisa-akhisar,32,0
2021-06-25,manisa-akhisar,16,5
2021-06-26,manisa-akhisar,15,0
2021-06-27,manisa-akhisar,12,0
2021-06-28,manisa-akhisar,9,0
2021-06-29,manisa-akhisar,10,0
2021-06-30,manisa-akhisar,15,3
2021-07-01,manisa-akhisar,15,1
2021-07-02,manisa-akhisar,11,0
2021-07-03,manisa-akhisar,4,0
2021-07-04,manisa-akhisar,7,3
2021-07-05,manisa-akhisar,5,0
